source,country,years,link,num_series,series_len,annotation_time,chart_type,resolution
DON,Haiti,2010-2019,https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON415,2,10,11,hybrid,915x555
DON,Tanzania,2023,https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON471,1,92,14,bar,1397x612
publication,Ethiopia,2019,https://www.frontiersin.org/journals/public-health/articles/10.3389/fpubh.2022.845057/full,1,9,8,bar,1084x535
publication,Ethiopia,2023,https://www.frontiersin.org/journals/public-health/articles/10.3389/fpubh.2024.1355613/full,1,22,2,line,780x450
publication,unknown,unknown,https://www.researchgate.net/figure/Pattern-of-outbreak-over-time-11_fig2_379515790,1,11,3,bar,520x371
MSF,Haiti,2010,https://medicalguidelines.msf.org/en/viewport/CHOL/english/2-8-investigation-report-23448763.html,2,9,14,hybrid,505x257
WHO,Rwanda,2024,https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON541,1,10,5,bar,477x289
publication,Equatorial Guinea,2023,https://www.researchgate.net/figure/Weekly-distribution-of-MVD-cases-based-on-the-onset-of-symptoms-and-case-categorization_fig4_385416313,2,19,7,bar,1393x603
WHO,DRC,2023,https://apps.who.int/iris/bitstream/handle/10665/372807/AFRO%20Cholera%20Bulletin.25_Final.pdf,3,83,22,bar,1225x467
PAHO,Haiti,2016-2018,https://www.paho.org/sites/default/files/2018-oct-11-phe-epi-update-cholera.pdf,3,52,15,bar,1270x519
AFRO,Ethiopia,2022-2023,https://apps.who.int/iris/bitstream/handle/10665/367631/AFRO%20Cholera%20Bulletin.07_Final.pdf,2,214,30,bar,1253x517
EMRO,Iran,1965-2014,https://applications.emro.who.int/emhj/v26/09/1020-3397-2020-2609-1097-1104-eng.pdf,2,50,9,hybrid,1459x720
EMRO,Iraq,2022,https://www.emro.who.int/images/stories/homepage/WHO-Iraq-SitRep_Week-32.pdf,3,52,13,bar,1370x686
AFRO,Mozambique,2022-2023,https://apps.who.int/iris/bitstream/handle/10665/367631/AFRO%20Cholera%20Bulletin.07_Final.pdf,10,17,30,hybrid,1261x520
AFRO,multiple,2022-2023,https://apps.who.int/iris/bitstream/handle/10665/372709/AFRO%20Cholera%20Bulletin.11_Final.pdf,14,69,102,bar,1266x620
DON,multiple,1989-2017,https://apps.who.int/iris/bitstream/handle/10665/274654/WER9338.pdf,2,29,12,hybrid,1366x792
DON,multiple,1990-2017,https://apps.who.int/iris/bitstream/handle/10665/274654/WER9338.pdf,4,29,18,bar,1353x705
PAHO,Haiti,2010-2011,https://www.paho.org/sites/default/files/HealthCluster-Bulletin30-2011-eng.pdf,2,334,46,hybrid,803x578
publication,Haiti,2010,https://www.sciencedirect.com/science/article/pii/S0309170816305218,3,113,30,line,590x225
publication,India,,https://www.sciencedirect.com/science/article/pii/S0309170816307059,3,13,15,line,391x349
publication,Bangladesh,1974–2018,https://www.sciencedirect.com/science/article/pii/S1201971220301144,1,45,8,hybrid,566x284
publication,multiple,1971-2006,https://link.springer.com/article/10.1007/s10393-009-0264-7,5,36,29,line,387x243
CDC,Haiti,2010-2011,https://wwwnc.cdc.gov/eid/article/17/11/11-0827-f2,3,182,35,hybrid,1500x1434
publication,DRC,2017-2018,https://bmcinfectdis.biomedcentral.com/articles/10.1186/s12879-020-4916-0,11,83,73,line,685x495
EMRO,Somalia,2017-2021,https://applications.emro.who.int/docs/WHOEMCSR463E-eng.pdf,2,195,36,bar,700x273
PAHO,Haiti,2014-2016,https://www.paho.org/sites/default/files/2016-sep-12-cha-epi-update-cholera.pdf,3,52,23,bar,970x586
AFRO,multiple,2022-2024,https://iris.who.int/bitstream/handle/10665/376243/AFRO%20Cholera%20Bulletin.53.pdf,3,52,13,line,1255x319
EMRO,Syria,2022-2023,https://www.emro.who.int/images/stories/syria/Cholera-Sitrep_19.pdf,2,195,22,hybrid,1270x544
EMRO,Syria,2022,https://www.emro.who.int/images/stories/syria/WoS_Cholera_Situation_Report_10.pdf,5,16,15,line,811x416
historic,USA,1849,https://www.propublica.org/nerds/infographics-in-the-time-of-cholera,2,19,15,line,630x406
WHO,Somalia,2021-2022,https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON398_1,2,53,16,bar,659x347
WHO,multiple,2024,https://www.infectiologie.com/UserFiles/File/emergences/actualite-reb-internationale-sept-dec-2024.pdf,5,44,20,bar,834x420
MMWR,Zimbabwe,2018-2019,https://www.cdc.gov/mmwr/volumes/69/wr/pdfs/mm6917a3-H.pdf,1,193,18,bar,1503x1005
UNICEF,Angola,2006-2018,https://www.plateformecholera.info/sites/default/files/2022-11/Cholera%20epidemiology%20in%20Angola_UNICEF_2018_FINAL.pdf,12,52,63,bar,877x1325
MMWR,Kenya,2014-2016,https://www.cdc.gov/mmwr/volumes/65/wr/pdfs/mm6503a7.pdf,1,379,24,bar,1514x897
EMRO,Syria,2022,https://www.emro.who.int/images/stories/syria/WoS_Cholera_Situation_Report_3.pdf,4,7,13,bar,1477x695
AFRO,Mozambique,2022-2023,https://apps.who.int/iris/bitstream/handle/10665/367632/AFRO%20Cholera%20Bulletin.08_Final.pdf,11,31,38,hybrid,1236x625
DON,Somalia,2020-2022,http://www.emro.who.int/images/stories/somalia/EPIWATCH_WEEKS-8_to_9_21_6_March_2022.pdf,3,52,22,line,783x425
WHO,multiple,2024,https://www.who.int/docs/default-source/coronaviruse/situation-reports/20241209_multi-country_outbreak-of-cholera_sitrep_21.pdf?download=true&sfvrsn=5dd738aa_3,5,47,21,bar,1097x628
publication,Haiti,2013-2014,https://www.nature.com/articles/s41598-018-37706-0,3,395,68,bar,1230x365
UNOCHA,Sudan,2019,https://unocha.org/sudan,3,81,23,hybrid,1145x722
WHO,multiple,2023-2024,https://www.who.int/docs/default-source/coronaviruse/situation-reports/20240314_multi-country_outbreak-of-cholera_sitrep_12.pdf?download=true&sfvrsn=f70641c8_3,3,117,25,hybrid,753x455
AFRO,multiple,2022-2023,https://apps.who.int/iris/bitstream/handle//10665/366405/AFRO%20Cholera%20Bulletin.02_Final.pdf,1,61,6,hybrid,1230x689
WHO,South Africa,2023,https://www.who.int/docs/default-source/coronaviruse/situation-reports/20230803_multi-country_outbreak-of-cholera_sitrep-5.pdf?download=true&sfvrsn=7bcfafb5_4,2,153,23,bar,753x436
UN,Bangladesh,2024-2025,https://bangladesh.un.org/en/288981-landmark-cholera-vaccination-campaign-offers-hope-rohingya-refugee-camps,2,30,11,bar,1650x717
DON,DRC,2022,https://apps.who.int/iris/bitstream/handle/10665/365707/OEW04-1622012023.pdf,2,54,22,hybrid,1458x639
UNICEF,Angola,1970-2017,https://www.plateformecholera.info/sites/default/files/2022-11/Cholera%20epidemiology%20in%20Angola_UNICEF_2018_FINAL.pdf,2,48,13,hybrid,1258x803
WHO,DRC,2023,https://cdn.who.int/media/docs/default-source/2021-dha-docs/20230320_multi-country_outbreak-of-cholera_sitrep-1.pdf?download=true&sfvrsn=a3b1e2af_3,1,452,31,bar,1208x694
EMRO,Syria,2023,https://www.emro.who.int/images/stories/syria/Cholera-Sitrep_8_april_2023.pdf,2,224,31,hybrid,1414x556
PAHO,Haiti,2022-2024,https://www.paho.org/sites/default/files/2024-11/2024-april-26-phe-update-cholera-enfinal.pdf,2,515,63,hybrid,953x683
PAHO,Dominican Republic,2010-2013,https://www.paho.org/sites/default/files/21-November-2013-Cholera-Epi-Update.pdf,1,160,12,bar,1137x578
EMRO,Iran,1998-2011,https://applications.emro.who.int/emhj/v26/09/1020-3397-2020-2609-1097-1104-eng.pdf,3,31,16,bar,1311x728
AFRO,Zambia,2023,https://apps.who.int/iris/bitstream/handle/10665/367782/AFRO%20Cholera%20Bulletin.09_Final.pdf,8,92,56,bar,1255x461
WHO,multiple,2022-2023,https://www.who.int/docs/default-source/coronaviruse/situation-reports/20230706_multi-country_outbreak-of-cholera_sitrep-4.pdf?download=true&sfvrsn=8be2e707_3,2,133,22,bar,1025x686
EMRO,Somalia,2017,https://www.emro.who.int/images/stories/20170703_week_27_awd_cholera.pdf,2,27,19,bar,997x555
NEJM,Haiti,2010-2012,https://www.nejm.org/doi/full/10.1056/NEJMoa1204927,3,715,113,hybrid,1536x1021
EMRO,Yemen,2017-2018,https://www.emro.who.int/images/stories/yemen/week_20.pdf,1,27,5,bar,514x278
PAHO,Haiti,2014-2017,https://www.paho.org/sites/default/files/2017-dec-28-phe-epi-update-cholera.pdf,4,52,29,bar,920x447
PAHO,Haiti,2012-2015,https://www.paho.org/sites/default/files/2015-sep-9-cha-cholera-epi-update.pdf,4,32,16,bar,1059x430
EMRO,Iraq,2015,https://www.emro.who.int/pandemic-epidemic-diseases/news/cholera-cases-decline-in-iraq.html,1,80,14,bar,448x238
ASM,Haiti,2022-2023,https://asm.org/articles/2023/march/cholera-in-times-of-chaos,2,111,16,hybrid,1000x670
UNICEF,Zimbabwe,2023,https://www.unicef.org/media/150481/file/Zimbabwe-Humanitarian-SitRep-Cholera-15-December-2023.pdf,3,321,66,hybrid,340x148
DON,Mozambique,2022-2023,https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON443,6,23,32,hybrid,1017x375
WHO,multiple,2018-2024,https://extranet.who.int/sph/trends-acute-respiratory-infection-including-human-metapneumovirus-northern-hemisphere,8,369,179,hybrid,569x293
AFRO,Malawi,2022-2023,https://apps.who.int/iris/bitstream/handle//10665/366348/AFRO%20Cholera%20Bulletin.01.pdf,1,52,11,hybrid,839x497
EMRO,Somalia,2016-2017,http://applications.emro.who.int/dsaf/EMROPub_2017_EN_19415.pdf?ua=1,2,48,11,hybrid,1030x450
AFRO,Burundi,2022-2023,https://apps.who.int/iris/bitstream/handle/10665/372709/AFRO%20Cholera%20Bulletin.11_Final.pdf,3,106,27,bar,1030x417
DON,Malawi,2022-2023,https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON435,2,338,52,hybrid,898x426
DON,multiple,1989-2021,https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON426,5,33,18,hybrid,1280x655
university,Bangladesh,2021-2022,https://www.iddynamics.jhsph.edu/cholera-0,2,54,17,hybrid,544x310
publication,South Sudan,2014-2015,https://pubs.sciepub.com/ajidm/4/6/3/figure/1,3,86,15,hybrid,832x328
UNIPH,Uganda,2015,https://uniph.go.ug/cholera-outbreak-caused-by-contaminated-water-spreads-across-80-villages-in-endemic-kasese-district-february-to-july-2015/,1,149,16,bar,334x151
DON,Republic of the Congo,2023,https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON488,3,61,27,bar,1453x733
WHO,DRC,2020,https://www.facebook.com/DrTedros.Official/posts/its-been-40-days-since-the-last-ebola-case-was-confirmed-in-drc-and-25-days-sinc/2714113378658137/,6,49,33,bar,851x467
AJTMH,Haiti,2010,https://www.ajtmh.org/view/journals/tpmd/89/3/article-p597.xml,4,77,34,bar,1024x540
DON,Haiti,2022,https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON427,2,66,20,hybrid,745x589
university,Yemen,2017-2020,https://ubctropicalmedicine.com/2020/10/17/cholera/,1,140,15,bar,1234x816
WHO,multiple,1989-2012,https://slideplayer.com/slide/5285813/,4,23,16,bar,960x720
