Date of onset,No. of cases
2015-08-13,41
2015-08-14,29
2015-08-15,12
2015-08-16,14
2015-08-17,12
2015-08-18,17
2015-08-19,27
2015-08-20,27
2015-08-21,20
2015-08-22,0
2015-08-23,21
2015-08-24,0
2015-08-25,14
2015-08-26,19
2015-08-27,0
2015-08-28,21
2015-08-29,0
2015-08-30,23
2015-08-31,0
2015-09-01,18
2015-09-02,0
2015-09-03,23
2015-09-04,25
2015-09-05,24
2015-09-06,24
2015-09-07,24
2015-09-08,11
2015-09-09,12
2015-09-10,0
2015-09-11,6
2015-09-12,4
2015-09-13,9
2015-09-14,9
2015-09-15,19
2015-09-16,17
2015-09-17,36
2015-09-18,0
2015-09-19,21
2015-09-20,12
2015-09-21,10
2015-09-22,12
2015-09-23,9
2015-09-24,10
2015-09-25,0
2015-09-26,15
2015-09-27,11
2015-09-28,9
2015-09-29,13
2015-09-30,7
2015-10-01,16
2015-10-02,19
2015-10-03,23
2015-10-04,18
2015-10-05,16
2015-10-06,26
2015-10-07,25
2015-10-08,0
2015-10-09,26
2015-10-10,36
2015-10-11,40
2015-10-12,0
2015-10-13,23
2015-10-14,31
2015-10-15,0
2015-10-16,18
2015-10-17,12
2015-10-18,0
2015-10-19,14
2015-10-20,21
2015-10-21,26
2015-10-22,19
2015-10-23,20
2015-10-24,0
2015-10-25,37
2015-10-26,0
2015-10-27,34
2015-10-28,41
2015-10-29,29
2015-10-30,43
2015-10-31,36
2015-11-01,18
2015-11-02,28
2015-11-03,0
2015-11-04,28
2015-11-05,23
2015-11-06,20
2015-11-07,25
2015-11-08,22
2015-11-09,21
2015-11-10,19
2015-11-11,26
2015-11-12,18
2015-11-13,16
2015-11-14,21
2015-11-15,55
2015-11-16,0
2015-11-17,48
2015-11-18,0
2015-11-19,53
2015-11-20,56
2015-11-21,54
2015-11-22,74
2015-11-23,55
2015-11-24,59
2015-11-25,0
2015-11-26,69
2015-11-27,45
2015-11-28,33
2015-11-29,0
2015-11-30,66
2015-12-01,0
2015-12-02,65
2015-12-03,61
2015-12-04,0
2015-12-05,50
2015-12-06,69
2015-12-07,62
2015-12-08,60
2015-12-09,61
2015-12-10,64
2015-12-11,47
2015-12-12,61
2015-12-13,0
2015-12-14,56
2015-12-15,51
2015-12-16,62
2015-12-17,48
2015-12-18,55
2015-12-19,46
2015-12-20,74
2015-12-21,70
2015-12-22,37
2015-12-23,47
2015-12-24,0
2015-12-25,46
2015-12-26,0
2015-12-27,57
2015-12-28,51
2015-12-29,36
2015-12-30,0
2015-12-31,37
2016-01-01,0
2016-01-02,30
2016-01-03,14
2016-01-04,5
2016-01-05,3
2016-01-06,1
2016-01-07,0
2016-01-08,2
