Date Case reported,Cases,Deaths
12/05/22,126,0
12/06/22,188,0
12/07/22,180,0
12/08/22,132,0
12/09/22,132,0
12/10/22,116,0
12/11/22,126,0
12/12/22,140,0
12/13/22,140,0
12/14/22,132,0
12/15/22,121,0
12/16/22,164,0
12/17/22,118,0
12/18/22,166,0
12/19/22,206,0
12/20/22,188,0
12/21/22,196,0
12/22/22,209,4
12/23/22,194,0
12/24/22,206,9
12/25/22,230,9
12/26/22,249,4
12/27/22,317,0
12/28/22,337,9
12/29/22,409,20
12/30/22,475,17
12/31/22,385,15
01/01/23,459,15
01/02/23,363,0
01/03/23,426,0
01/04/23,451,12
01/05/23,462,12
01/06/23,483,9
01/07/23,467,9
01/08/23,425,9
01/09/23,494,9
01/10/23,491,9
01/11/23,443,12
01/12/23,584,12
01/13/23,479,15
01/14/23,531,12
01/15/23,555,12
01/16/23,550,4
01/17/23,571,9
01/18/23,462,23
01/19/23,619,15
01/20/23,606,9
01/21/23,627,9
01/22/23,558,25
01/23/23,592,9
01/24/23,587,9
01/25/23,622,17
01/26/23,619,15
01/27/23,584,12
01/28/23,574,9
01/29/23,587,9
01/30/23,582,15
01/31/23,741,23
02/01/23,743,20
02/02/23,662,20
02/03/23,675,17
