Date of onset of symptoms,Suspected,Cumulative
2023-01-25,296,184
2023-01-26,265,186
2023-01-27,264,188
2023-01-28,263,189
2023-01-29,293,191
2023-01-30,294,192
2023-01-31,262,194
2023-02-01,261,194
2023-02-02,195,196
2023-02-03,292,197
2023-02-04,276,199
2023-02-05,276,200
2023-02-06,275,201
2023-02-07,222,202
2023-02-08,221,204
2023-02-09,197,205
2023-02-10,111,205
2023-02-11,111,206
2023-02-12,179,207
2023-02-13,215,209
2023-02-14,238,210
2023-02-15,238,211
2023-02-16,209,211
2023-02-17,208,212
2023-02-18,185,214
2023-02-19,186,215
2023-02-20,213,215
2023-02-21,213,217
2023-02-22,213,219
2023-02-23,206,220
2023-02-24,164,220
2023-02-25,148,222
2023-02-26,139,222
2023-02-27,140,223
2023-02-28,174,224
2023-03-01,178,225
2023-03-02,185,226
2023-03-03,185,227
2023-03-04,184,229
2023-03-05,183,229
2023-03-06,143,230
2023-03-07,145,231
2023-03-08,154,231
2023-03-09,155,232
2023-03-10,158,233
2023-03-11,144,234
2023-03-12,177,235
2023-03-13,159,235
2023-03-14,145,236
2023-03-15,146,237
2023-03-16,132,238
2023-03-17,163,238
2023-03-18,163,239
2023-03-19,144,240
2023-03-20,143,241
2023-03-21,142,242
2023-03-22,153,242
2023-03-23,152,243
2023-03-24,141,244
2023-03-25,141,245
2023-03-26,111,245
2023-03-27,111,246
2023-03-28,131,247
2023-03-29,125,248
2023-03-30,121,249
2023-03-31,129,249
2023-04-01,123,250
2023-04-02,99,250
2023-04-03,113,251
2023-04-04,105,252
2023-04-05,131,252
2023-04-06,124,253
2023-04-07,94,253
2023-04-08,88,254
2023-04-09,90,254
2023-04-10,110,255
2023-04-11,92,255
2023-04-12,84,256
2023-04-13,84,256
2023-04-14,85,257
2023-04-15,113,257
2023-04-16,103,257
2023-04-17,102,258
2023-04-18,99,258
2023-04-19,99,259
2023-04-20,98,259
2023-04-21,89,260
2023-04-22,100,260
2023-04-23,101,261
2023-04-24,83,261
2023-04-25,85,261
2023-04-26,89,262
2023-04-27,55,262
2023-04-28,80,263
2023-04-29,82,263
2023-04-30,82,263
2023-05-01,89,264
2023-05-02,72,265
2023-05-03,67,265
2023-05-04,63,266
2023-05-05,69,266
2023-05-06,83,267
2023-05-07,83,267
2023-05-08,69,267
2023-05-09,70,267
2023-05-10,71,268
2023-05-11,61,268
2023-05-12,72,269
2023-05-13,89,270
2023-05-14,67,270
2023-05-15,84,271
2023-05-16,75,271
2023-05-17,66,272
2023-05-18,72,272
2023-05-19,147,273
2023-05-20,153,273
2023-05-21,148,274
2023-05-22,144,275
2023-05-23,143,276
2023-05-24,121,276
2023-05-25,142,277
2023-05-26,143,278
2023-05-27,143,278
2023-05-28,147,279
2023-05-29,122,280
2023-05-30,117,281
2023-05-31,136,282
2023-06-01,102,282
2023-06-02,150,284
2023-06-03,140,286
2023-06-04,160,285
2023-06-05,153,287
2023-06-06,152,285
2023-06-07,133,286
2023-06-08,132,288
2023-06-09,139,288
2023-06-10,138,289
2023-06-11,124,290
2023-06-12,124,290
2023-06-13,121,291
2023-06-14,123,292
2023-06-15,151,292
2023-06-16,153,293
2023-06-17,133,294
2023-06-18,132,295
2023-06-19,136,296
2023-06-20,135,296
2023-06-21,115,297
2023-06-22,113,298
2023-06-23,111,298
2023-06-24,130,299
2023-06-25,163,300
2023-06-26,164,301
2023-06-27,171,301
2023-06-28,185,303
2023-06-29,185,303
2023-06-30,177,303
2023-07-01,307,305
2023-07-02,334,308
2023-07-03,348,310
2023-07-04,351,310
2023-07-05,349,312
2023-07-06,349,314
2023-07-07,344,316
2023-07-08,344,318
2023-07-09,358,320
2023-07-10,335,321
2023-07-11,339,323
2023-07-12,300,325
2023-07-13,300,327
2023-07-14,248,328
2023-07-15,295,329
2023-07-16,293,331
2023-07-17,249,333
2023-07-18,233,334
2023-07-19,234,335
2023-07-20,238,336
2023-07-21,210,338
2023-07-22,194,339
2023-07-23,195,339
2023-07-24,194,340
2023-07-25,172,341
2023-07-26,171,342
2023-07-27,155,343
2023-07-28,150,344
2023-07-29,163,345
2023-07-30,163,346
2023-07-31,179,347
2023-08-01,179,348
2023-08-02,166,349
2023-08-03,175,350
2023-08-04,171,351
2023-08-05,175,352
2023-08-06,161,352
2023-08-07,159,354
2023-08-08,192,353
2023-08-09,179,359
2023-08-10,163,356
2023-08-11,173,357
2023-08-12,134,358
2023-08-13,163,358
2023-08-14,163,360
2023-08-15,150,360
2023-08-16,150,361
2023-08-17,151,362
2023-08-18,153,363
2023-08-19,153,364
2023-08-20,161,365
2023-08-21,161,366
2023-08-22,127,366
2023-08-23,148,367
2023-08-24,153,368
2023-08-25,152,368
2023-08-26,126,369
2023-08-27,125,370
2023-08-28,104,370
2023-08-29,103,371
2023-08-30,99,372
2023-08-31,89,372
2023-09-01,88,373
2023-09-02,90,373
2023-09-03,93,374
2023-09-04,94,375
2023-09-05,106,375
2023-09-06,91,375
2023-09-07,90,376
2023-09-08,90,376
2023-09-09,88,377
2023-09-10,88,377
2023-09-11,114,378
2023-09-12,114,378
2023-09-13,85,379
2023-09-14,87,379
2023-09-15,97,380
2023-09-16,92,380
2023-09-17,108,381
2023-09-18,67,381
2023-09-19,82,382
2023-09-20,83,382
2023-09-21,88,383
2023-09-22,88,384
2023-09-23,83,384
2023-09-24,82,384
2023-09-25,79,385
2023-09-26,83,385
2023-09-27,80,386
2023-09-28,78,386
2023-09-29,78,387
2023-09-30,79,387
2023-10-01,90,388
2023-10-02,92,388
2023-10-03,98,389
2023-10-04,89,389
2023-10-05,135,390
2023-10-06,113,390
2023-10-07,135,391
2023-10-08,118,392
2023-10-09,106,392
2023-10-10,109,393
2023-10-11,125,394
2023-10-12,129,394
2023-10-13,115,395
2023-10-14,114,396
2023-10-15,111,396
2023-10-16,102,397
2023-10-17,122,398
2023-10-18,122,399
2023-10-19,108,399
2023-10-20,108,400
2023-10-21,119,401
2023-10-22,120,401
2023-10-23,103,401
2023-10-24,130,401
2023-10-25,142,402
2023-10-26,103,405
2023-10-27,102,405
2023-10-28,101,405
2023-10-29,115,406
2023-10-30,134,406
2023-10-31,87,407
2023-11-01,125,408
2023-11-02,116,408
2023-11-03,158,409
2023-11-04,159,410
2023-11-05,161,410
2023-11-06,170,411
2023-11-07,154,412
2023-11-08,189,413
2023-11-09,195,414
2023-11-10,165,415
2023-11-11,167,416
2023-11-12,188,417
2023-11-13,188,418
2023-11-14,152,418
2023-11-15,152,420
2023-11-16,201,421
2023-11-17,201,421
2023-11-18,160,423
2023-11-19,176,423
2023-11-20,161,424
2023-11-21,159,425
2023-11-22,135,426
2023-11-23,139,427
2023-11-24,219,428
2023-11-25,220,429
2023-11-26,202,431
2023-11-27,201,431
2023-11-28,194,433
2023-11-29,192,433
2023-11-30,152,434
2023-12-01,152,435
2023-12-02,193,436
2023-12-03,193,438
2023-12-04,178,438
2023-12-05,179,440
2023-12-06,210,440
2023-12-07,210,441
2023-12-08,195,443
2023-12-09,170,443
2023-12-10,206,445
2023-12-11,213,446
2023-12-12,182,446
2023-12-13,184,448
2023-12-14,169,448
2023-12-15,170,450
2023-12-16,174,450
2023-12-17,172,451
2023-12-18,122,452
2023-12-19,120,452
2023-12-20,125,454
2023-12-21,168,454
2023-12-22,172,456
2023-12-23,173,456
2023-12-24,180,457
2023-12-25,195,458
2023-12-26,176,459
2023-12-27,143,460
2023-12-28,142,461
2023-12-29,186,462
2023-12-30,150,462
2023-12-31,147,463
2024-01-01,172,465
2024-01-02,144,465
2024-01-03,110,466
2024-01-04,110,467
2024-01-05,146,467
2024-01-06,146,468
2024-01-07,133,469
2024-01-08,122,470
2024-01-09,117,471
2024-01-10,117,471
2024-01-11,140,471
2024-01-12,120,473
2024-01-13,120,473
2024-01-14,98,474
2024-01-15,94,474
2024-01-16,108,475
2024-01-17,98,475
2024-01-18,96,476
2024-01-19,93,476
2024-01-20,92,477
2024-01-21,83,477
2024-01-22,94,478
2024-01-23,94,478
2024-01-24,96,479
2024-01-25,95,479
2024-01-26,67,480
2024-01-27,70,480
2024-01-28,69,481
2024-01-29,59,481
2024-01-30,58,481
2024-01-31,78,481
2024-02-01,69,481
2024-02-02,51,482
2024-02-03,51,482
2024-02-04,76,482
2024-02-05,76,482
2024-02-06,80,483
2024-02-07,80,483
2024-02-08,52,483
2024-02-09,44,484
2024-02-10,45,484
2024-02-11,45,484
2024-02-12,34,485
2024-02-13,34,485
2024-02-14,30,485
2024-02-15,30,485
2024-02-16,26,485
2024-02-17,26,486
2024-02-18,26,486
2024-02-19,26,486
2024-02-20,20,486
2024-02-21,19,486
2024-02-22,17,486
2024-02-23,17,487
2024-02-24,18,487
2024-02-25,18,487
2024-02-26,12,487
2024-02-27,13,487
