Date,Suspected cases in the South zone,Suspected cases in the PaP zone,Suspected cases in the North zone
2014-04-18,0,0,24
2014-04-19,0,0,22
2014-04-20,0,0,26
2014-04-21,0,0,31
2014-04-22,0,0,35
2014-04-23,0,0,26
2014-04-24,0,0,26
2014-04-25,0,0,26
2014-04-26,0,0,26
2014-04-27,0,0,26
2014-04-28,0,0,26
2014-04-29,0,0,26
2014-04-30,0,0,26
2014-05-01,0,0,26
2014-05-02,0,0,26
2014-05-03,0,0,26
2014-05-04,0,0,26
2014-05-05,0,0,26
2014-05-06,0,0,23
2014-05-07,0,0,19
2014-05-08,0,0,16
2014-05-09,0,0,16
2014-05-10,0,0,17
2014-05-11,0,0,17
2014-05-12,0,0,18
2014-05-13,0,0,18
2014-05-14,0,0,20
2014-05-15,0,0,22
2014-05-16,0,0,24
2014-05-17,0,0,27
2014-05-18,0,0,29
2014-05-19,0,0,31
2014-05-20,0,0,31
2014-05-21,0,0,30
2014-05-22,0,0,30
2014-05-23,0,0,30
2014-05-24,0,0,30
2014-05-25,0,0,29
2014-05-26,0,0,29
2014-05-27,0,0,29
2014-05-28,0,0,28
2014-05-29,0,0,28
2014-05-30,0,0,28
2014-05-31,0,0,27
2014-06-01,0,0,27
2014-06-02,0,0,27
2014-06-03,0,0,26
2014-06-04,0,0,26
2014-06-05,0,0,26
2014-06-06,0,0,26
2014-06-07,0,0,26
2014-06-08,0,0,26
2014-06-09,0,0,26
2014-06-10,0,0,26
2014-06-11,0,0,26
2014-06-12,0,0,26
2014-06-13,0,0,26
2014-06-14,0,0,26
2014-06-15,0,0,26
2014-06-16,0,0,26
2014-06-17,0,0,26
2014-06-18,0,0,26
2014-06-19,0,0,26
2014-06-20,0,0,26
2014-06-21,0,0,26
2014-06-22,0,0,26
2014-06-23,0,0,37
2014-06-24,0,0,44
2014-06-25,0,0,50
2014-06-26,0,0,57
2014-06-27,0,0,48
2014-06-28,0,0,38
2014-06-29,0,0,36
2014-06-30,0,0,33
2014-07-01,0,0,31
2014-07-02,0,0,49
2014-07-03,0,0,66
2014-07-04,0,0,84
2014-07-05,0,0,53
2014-07-06,0,0,62
2014-07-07,0,0,72
2014-07-08,0,0,82
2014-07-09,0,0,91
2014-07-10,0,0,38
2014-07-11,0,0,36
2014-07-12,0,0,35
2014-07-13,0,0,45
2014-07-14,0,0,54
2014-07-15,0,0,64
2014-07-16,0,0,54
2014-07-17,0,0,44
2014-07-18,0,0,34
2014-07-19,0,0,24
2014-07-20,0,0,24
2014-07-21,0,0,24
2014-07-22,0,0,24
2014-07-23,0,0,24
2014-07-24,0,0,24
2014-07-25,0,0,24
2014-07-26,0,0,26
2014-07-27,0,0,28
2014-07-28,0,0,29
2014-07-29,0,0,31
2014-07-30,0,0,32
2014-07-31,0,0,32
2014-08-01,0,0,33
2014-08-02,0,0,27
2014-08-03,0,0,28
2014-08-04,0,0,29
2014-08-05,0,0,29
2014-08-06,0,0,29
2014-08-07,0,0,29
2014-08-08,0,0,29
2014-08-09,0,0,26
2014-08-10,0,0,26
2014-08-11,0,0,26
2014-08-12,0,0,27
2014-08-13,0,0,27
2014-08-14,0,0,30
2014-08-15,0,0,33
2014-08-16,0,0,54
2014-08-17,0,0,75
2014-08-18,0,0,88
2014-08-19,0,0,102
2014-08-20,0,0,116
2014-08-21,0,0,129
2014-08-22,0,0,98
2014-08-23,0,0,68
2014-08-24,0,0,56
2014-08-25,0,0,45
2014-08-26,0,0,33
2014-08-27,0,0,33
2014-08-28,0,0,33
2014-08-29,0,0,33
2014-08-30,0,0,34
2014-08-31,0,0,35
2014-09-01,0,0,36
2014-09-02,0,0,36
2014-09-03,0,0,37
2014-09-04,0,0,38
2014-09-05,0,0,37
2014-09-06,0,0,37
2014-09-07,0,0,36
2014-09-08,0,0,36
2014-09-09,0,0,35
2014-09-10,0,1,41
2014-09-11,0,1,47
2014-09-12,0,2,53
2014-09-13,0,2,55
2014-09-14,0,5,55
2014-09-15,0,8,54
2014-09-16,0,11,55
2014-09-17,0,14,57
2014-09-18,0,18,58
2014-09-19,0,18,62
2014-09-20,0,18,68
2014-09-21,0,18,73
2014-09-22,0,18,64
2014-09-23,0,25,77
2014-09-24,0,32,89
2014-09-25,0,39,71
2014-09-26,0,32,67
2014-09-27,0,25,81
2014-09-28,0,18,95
2014-09-29,0,11,84
2014-09-30,0,4,124
2014-10-01,0,35,94
2014-10-02,0,32,98
2014-10-03,0,29,99
2014-10-04,0,26,100
2014-10-05,0,25,99
2014-10-06,13,12,95
2014-10-07,10,14,93
2014-10-08,8,27,78
2014-10-09,5,41,82
2014-10-10,6,73,58
2014-10-11,7,85,223
2014-10-12,7,99,162
2014-10-13,8,88,125
2014-10-14,9,77,88
2014-10-15,8,77,95
2014-10-16,8,76,102
2014-10-17,8,102,81
2014-10-18,7,128,62
2014-10-19,8,147,159
2014-10-20,10,176,246
2014-10-21,11,156,193
2014-10-22,20,128,141
2014-10-23,28,154,48
2014-10-24,36,180,1
2014-10-25,43,206,40
2014-10-26,51,232,40
2014-10-27,45,231,40
2014-10-28,39,229,40
2014-10-29,32,229,40
2014-10-30,26,180,40
2014-10-31,20,130,59
2014-11-01,27,137,50
2014-11-02,33,225,230
2014-11-03,40,312,409
2014-11-04,44,193,61
2014-11-05,49,201,59
2014-11-06,53,175,92
2014-11-07,38,178,78
2014-11-08,22,175,70
2014-11-09,7,119,120
2014-11-10,12,130,84
2014-11-11,18,272,84
2014-11-12,26,280,84
2014-11-13,33,265,84
2014-11-14,31,128,93
2014-11-15,28,122,110
2014-11-16,26,116,126
2014-11-17,24,118,121
2014-11-18,26,116,112
2014-11-19,29,167,58
2014-11-20,31,218,5
2014-11-21,32,171,49
2014-11-22,34,122,94
2014-11-23,36,74,139
2014-11-24,37,75,135
2014-11-25,40,73,187
2014-11-26,43,72,239
2014-11-27,46,59,302
2014-11-28,34,61,365
2014-11-29,23,70,93
2014-11-30,11,80,90
