Date,Cholera Cases,Deaths,CFR %
2023-05-10,30,0,0
2023-05-11,17,0,0
2023-05-12,41,0,0
2023-05-13,59,0,0
2023-05-14,61,0,0
2023-05-15,61,0,6.48
2023-05-16,61,0,0
2023-05-17,67,0,0
2023-05-18,67,0,5.28
2023-05-19,67,0,0
2023-05-20,72,0,0
2023-05-21,85,0,0
2023-05-22,78,0,0
2023-05-23,26,0,0
2023-05-24,105,0,0
2023-05-25,50,0,4.08
2023-05-26,48,0,0
2023-05-27,72,0,0
2023-05-28,85,0,0
2023-05-29,87,0,0
2023-05-30,87,0,0
2023-05-31,76,0,0
2023-06-01,65,0,0
2023-06-02,56,0,0
2023-06-03,56,0,0
2023-06-04,33,0,0
2023-06-05,52,0,0
2023-06-06,52,0,0
2023-06-07,52,0,0
2023-06-08,46,0,11.76
2023-06-09,46,0,0
2023-06-10,59,0,0
2023-06-11,85,0,6
2023-06-12,85,0,0
2023-06-13,65,0,0
2023-06-14,65,0,0
2023-06-15,63,0,0
2023-06-16,63,0,6.96
2023-06-17,72,0,0
2023-06-18,100,0,4.8
2023-06-19,100,0,0
2023-06-20,100,0,0
2023-06-21,41,0,0
2023-06-22,41,0,0
2023-06-23,77,0,0
2023-06-24,30,0,0
2023-06-25,22,0,0
2023-06-26,22,0,0
2023-06-27,56,0,0
2023-06-28,52,0,0
2023-06-29,52,0,2.4
2023-06-30,50,0,0
2023-07-01,9,0,0
2023-07-02,59,0,0
2023-07-03,59,0,4.08
2023-07-04,41,0,0
2023-07-05,30,0,5.04
2023-07-06,30,0,0
2023-07-07,30,0,0
2023-07-08,22,0,0
2023-07-09,26,0,0
2023-07-10,17,0,0
2023-07-11,20,0,0
2023-07-12,20,0,0
2023-07-13,24,0,0
2023-07-14,24,0,3.84
2023-07-15,24,0,0
2023-07-16,24,0,0
2023-07-17,24,0,0
2023-07-18,22,0,0
2023-07-19,15,0,0
2023-07-20,13,0,0
2023-07-21,13,0,0
2023-07-22,0,0,0
2023-07-23,30,0,0
2023-07-24,35,0,0
2023-07-25,50,0,8.16
2023-07-26,0,0,0
2023-07-27,0,0,0
2023-07-28,0,0,0
2023-07-29,0,0,11.76
2023-07-30,0,0,0
2023-07-31,0,0,32.64
2023-08-01,11,0,0
2023-08-02,0,0,0
2023-08-03,0,0,0
2023-08-04,0,0,25.44
2023-08-05,0,0,0
2023-08-06,0,0,0
2023-08-07,0,0,0
2023-08-08,0,0,0
2023-08-09,6,0,0
2023-08-10,6,0,0
2023-08-11,6,0,0
2023-08-12,0,0,0
2023-08-13,0,0,0
2023-08-14,0,0,0
2023-08-15,0,0,0
2023-08-16,4,0,0
2023-08-17,4,0,0
2023-08-18,0,0,0
2023-08-19,0,0,0
2023-08-20,0,0,0
2023-08-21,0,0,0
2023-08-22,0,0,0
2023-08-23,0,0,0
2023-08-24,0,0,0
2023-08-25,0,0,0
2023-08-26,0,0,0
2023-08-27,0,0,0
2023-08-28,0,0,0
2023-08-29,0,0,0
2023-08-30,0,0,0
2023-08-31,0,0,0
2023-09-01,9,0,0
2023-09-02,9,0,0
2023-09-03,9,0,0
2023-09-04,9,0,0
2023-09-05,0,0,0
2023-09-06,0,0,0
2023-09-07,0,0,50.16
2023-09-08,0,0,0
2023-09-09,0,0,0
2023-09-10,0,0,0
2023-09-11,0,0,0
2023-09-12,0,0,0
2023-09-13,0,0,22.08
2023-09-14,0,0,0
2023-09-15,0,0,0
2023-09-16,0,0,0
2023-09-17,0,0,0
2023-09-18,15,0,0
2023-09-19,15,0,12.24
2023-09-20,0,0,0
2023-09-21,11,0,8.16
2023-09-22,0,0,0
2023-09-23,37,0,4.8
2023-09-24,50,0,0
2023-09-25,63,0,0
2023-09-26,63,0,0
2023-09-27,61,0,6.24
2023-09-28,59,0,0
2023-09-29,46,0,0
2023-09-30,46,0,0
2023-10-01,41,0,5.28
2023-10-02,60,0,0
2023-10-03,60,0,0
2023-10-04,39,0,0
2023-10-05,35,0,1.68
2023-10-06,26,0,0
2023-10-07,24,0,0
2023-10-08,33,0,0
2023-10-09,33,0,2.88
2023-10-10,22,0,0
2023-10-11,39,0,0
2023-10-12,41,0,0
2023-10-13,46,0,5.76
2023-10-14,46,0,0
2023-10-15,54,0,0
2023-10-16,72,0,0
2023-10-17,78,0,5.28
2023-10-18,65,0,0
2023-10-19,65,0,0
2023-10-20,65,0,0
2023-10-21,48,0,3.84
2023-10-22,50,0,0
2023-10-23,50,0,0
2023-10-24,54,0,0
2023-10-25,63,0,0
2023-10-26,70,0,0
2023-10-27,109,0,7.68
2023-10-28,109,0,0
2023-10-29,83,0,0
2023-10-30,107,0,0
2023-10-31,93,0,2.4
2023-11-01,96,0,0
2023-11-02,96,0,0
2023-11-03,72,0,0
2023-11-04,78,0,1.92
2023-11-05,102,0,4.56
2023-11-06,102,0,0
2023-11-07,104,0,0
2023-11-08,85,0,0
2023-11-09,93,0,4.32
2023-11-10,93,0,0
2023-11-11,93,0,0
2023-11-12,96,0,0
2023-11-13,96,0,0
2023-11-14,143,0,2.64
2023-11-15,172,0,0
2023-11-16,179,0,0
2023-11-17,179,0,0
2023-11-18,139,0,0
2023-11-19,139,0,1.92
2023-11-20,141,0,0
2023-11-21,152,0,0
2023-11-22,204,0,0
2023-11-23,204,0,0
2023-11-24,204,0,0
2023-11-25,159,0,1.68
2023-11-26,146,0,0
2023-11-27,159,0,0
2023-11-28,196,0,0
2023-11-29,196,0,0
2023-11-30,163,0,3.12
2023-12-01,157,0,0
2023-12-02,143,0,0
2023-12-03,148,0,0
2023-12-04,170,0,0
2023-12-05,170,0,0
2023-12-06,161,0,0
2023-12-07,163,0,4.08
2023-12-08,209,0,0
2023-12-09,133,0,0
2023-12-10,137,0,0
2023-12-11,157,0,0
2023-12-12,157,0,1.92
2023-12-13,143,0,0
2023-12-14,146,0,0
2023-12-15,146,0,2.64
2023-12-16,141,0,0
2023-12-17,117,0,4.56
2023-12-18,124,0,0
