Week,A (H1),A (H1N1)pdm09,A (H3),A (H5),A not subtyped,B (Victoria),B (Yamagata),B (lineage not determined)
74,0,4719,6299,0,18585,0,0,0
75,0,2199,5670,0,14804,0,0,0
76,0,2199,4095,0,11024,0,0,0
77,0,939,3150,0,7874,0,0,0
78,0,939,2835,0,5355,0,0,0
79,0,0,2514,0,3465,0,0,0
80,0,0,1884,0,472,0,0,0
81,0,0,1254,0,1260,0,0,2047
82,0,0,624,0,945,1417,0,0
83,0,0,624,0,945,945,0,1417
84,0,0,624,0,472,1733,0,0
85,0,0,0,0,0,1884,0,0
86,0,0,0,0,0,1411,0,0
87,0,0,0,0,0,1411,0,0
88,0,0,624,0,0,1102,0,315
89,0,0,781,0,0,945,0,0
90,0,0,781,0,0,945,0,0
91,0,0,781,0,0,0,0,0
92,0,0,781,0,0,945,0,0
93,0,0,0,0,0,1411,0,0
94,0,0,0,0,0,0,0,0
95,0,0,0,0,0,0,0,0
96,0,0,0,0,0,1096,0,0
97,0,0,0,0,0,0,0,0
98,0,0,624,0,0,0,0,0
99,0,0,624,0,0,0,0,0
100,0,0,0,0,0,0,0,1411
101,0,0,0,0,0,0,0,0
102,0,0,781,0,0,0,0,0
103,0,0,781,0,630,0,0,0
104,0,0,939,0,630,0,0,0
105,0,0,939,0,787,0,0,0
106,0,0,1254,0,787,0,0,0
107,0,0,1569,0,1102,0,0,0
108,0,939,1575,0,1260,0,0,1890
109,0,939,1575,0,1890,0,0,0
110,0,1254,2205,0,2835,0,0,4409
111,0,1884,2205,0,4095,2519,0,2205
112,0,2199,5355,0,1890,4567,0,1732
113,0,2514,5355,0,4409,0,0,9135
114,0,3459,6300,0,6614,0,0,13859
115,0,3774,6299,0,12600,3150,0,11339
116,0,5664,5984,0,12442,0,0,0
117,0,5979,5354,0,13230,3780,0,11024
118,0,6924,4409,0,13860,0,0,15434
119,0,7554,3779,0,17640,0,0,17324
120,0,6609,2835,0,22048,0,0,0
121,0,5664,2520,0,22363,1418,0,14332
122,0,4719,1890,0,20789,0,0,12914
123,0,4719,1575,0,19529,2835,0,8819
124,0,3144,2205,0,12599,5827,0,7087
125,0,1569,1890,0,13544,0,0,1575
126,0,1254,787,0,6143,0,0,787
127,0,0,781,0,1260,0,0,0
128,0,0,0,0,0,0,0,2671
129,0,0,0,0,0,0,0,0
130,0,0,0,0,0,0,0,0
131,0,0,0,0,0,0,0,0
132,0,0,0,0,0,0,0,0
133,0,0,0,0,0,0,0,0
134,0,0,0,0,0,0,0,0
135,0,0,0,0,0,0,0,0
136,0,0,0,0,0,0,0,0
137,0,0,0,0,0,0,0,0
138,0,0,0,0,0,0,0,0
139,0,0,0,0,0,0,0,0
140,0,0,0,0,0,0,0,0
141,0,0,0,0,0,0,0,0
142,0,0,0,0,0,0,0,0
143,0,0,0,0,0,0,0,0
144,0,0,0,0,0,0,0,0
145,0,0,0,0,0,0,0,0
146,0,0,0,0,0,0,0,0
147,0,0,0,0,0,0,0,0
148,0,0,0,0,0,0,0,0
149,0,0,0,0,0,0,0,0
150,0,0,0,0,0,0,0,0
151,0,0,0,0,0,0,0,0
152,0,0,0,0,0,0,0,0
153,0,0,0,0,0,0,0,0
154,0,0,0,0,0,0,0,0
155,0,0,0,0,0,0,0,0
156,0,0,0,0,0,0,0,0
157,0,0,0,0,0,0,0,0
158,0,0,0,0,0,0,0,0
159,0,0,0,0,0,0,0,0
160,0,0,0,0,0,0,0,0
161,0,0,0,0,0,0,0,0
162,0,0,0,0,0,0,0,0
163,0,0,0,0,0,0,0,0
164,0,0,0,0,0,0,0,0
165,0,0,0,0,0,0,0,0
166,0,0,0,0,0,0,0,0
167,0,0,0,0,0,0,0,0
168,0,0,0,0,0,0,0,0
169,0,0,0,0,0,0,0,0
170,0,0,0,0,0,0,0,0
171,0,0,0,0,0,0,0,0
172,0,0,0,0,0,0,0,0
173,0,0,0,0,0,0,0,0
174,0,0,0,0,0,0,0,0
175,0,0,0,0,0,0,0,0
176,0,0,0,0,0,0,0,0
177,0,0,0,0,0,0,0,0
178,0,0,0,0,0,0,0,0
179,0,0,0,0,0,0,0,0
180,0,0,0,0,0,0,0,0
181,0,0,0,0,0,0,0,0
182,0,0,0,0,0,0,0,0
183,0,0,0,0,0,0,0,0
184,0,0,0,0,0,0,0,0
185,0,0,0,0,0,0,0,0
186,0,0,0,0,0,0,0,0
187,0,0,0,0,0,0,0,0
188,0,0,0,0,0,0,0,0
189,0,0,0,0,0,0,0,0
190,0,0,0,0,0,0,0,0
191,0,0,0,0,0,0,0,0
192,0,0,0,0,0,0,0,0
193,0,0,0,0,0,0,0,0
194,0,0,0,0,0,0,0,0
195,0,0,0,0,0,0,0,0
196,0,0,0,0,0,0,0,0
197,0,0,0,0,0,0,0,0
198,0,0,0,0,0,0,0,0
199,0,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0,0
201,0,0,0,0,0,781,0,0
202,0,0,0,0,0,781,0,0
203,0,0,0,0,0,781,0,0
204,0,0,0,0,0,0,0,0
205,0,0,0,0,0,781,0,0
206,0,0,0,0,0,781,0,0
207,0,0,0,0,0,781,0,0
208,0,0,0,0,0,781,0,0
209,0,0,0,0,0,1096,0,0
210,0,0,0,0,0,1411,0,315
211,0,0,0,0,0,0,0,2356
212,0,0,1254,0,472,0,0,1890
213,0,0,2199,0,2835,0,0,2047
214,0,0,2829,0,3780,0,0,0
215,0,0,3144,0,5355,0,0,0
216,0,0,3459,0,10709,2520,0,0
217,0,0,2829,0,2835,0,0,0
218,0,0,2829,0,5827,2047,0,0
219,0,0,2514,0,4410,787,0,0
220,0,0,1569,0,2835,3622,0,0
221,0,0,1254,0,2835,2835,0,0
222,0,0,0,0,3459,0,0,1102
223,0,0,939,0,3150,0,0,2205
224,0,0,0,0,5034,2047,0,0
225,0,0,939,0,4410,787,0,788
226,0,0,1254,0,0,0,0,10552
227,0,0,1884,0,9764,0,0,0
228,0,0,2514,0,12599,0,0,0
229,0,0,2829,0,14804,0,0,0
230,0,0,2829,0,15749,0,0,1103
231,0,0,2829,0,15749,0,0,0
232,0,0,2514,0,0,0,0,0
233,0,0,2199,0,11654,0,0,0
234,0,0,2199,0,11024,0,0,0
235,0,0,2199,0,9134,0,0,0
236,0,0,2199,0,7560,0,0,0
237,0,0,2199,0,6615,0,0,0
238,0,0,2199,0,5040,0,0,0
239,0,0,2199,0,4725,0,0,0
240,0,0,2514,0,2205,0,0,0
241,0,0,2514,0,1890,0,0,0
242,0,0,2514,0,630,0,0,0
243,0,0,2199,0,1260,0,0,0
244,0,0,2199,0,472,0,0,0
245,0,0,2199,0,157,0,0,0
246,0,0,1884,0,0,0,0,0
247,0,0,1884,0,157,0,0,0
248,0,0,1884,0,0,0,0,0
249,0,0,1884,0,157,0,0,0
250,0,0,1569,0,0,0,0,0
251,0,0,1254,0,472,0,0,0
252,0,0,1254,0,472,0,0,0
253,0,0,1254,0,315,0,0,0
254,0,0,1254,0,630,0,0,0
255,0,0,1569,0,945,0,0,0
256,0,0,1884,0,1260,0,0,1732
257,0,0,2829,0,3465,0,0,0
258,0,0,3459,0,4410,0,0,0
259,0,0,4719,0,5984,0,0,6458
260,0,0,5664,0,8504,0,0,0
261,0,0,5979,0,20159,0,0,0
262,0,939,7875,0,34963,0,0,0
263,0,1254,8505,0,50082,0,0,0
264,0,1569,9449,0,61422,0,0,1103
265,0,2514,8819,0,61422,0,0,0
266,0,4404,9134,0,59217,0,0,0
267,0,5034,9922,0,39845,0,0,0
268,0,4561,6142,0,13545,0,0,0
269,0,2829,5040,0,25828,0,0,0
270,0,2829,2835,0,7244,0,0,9765
271,0,1254,1890,0,7559,2993,0,1417
272,0,1254,1575,0,7559,0,0,0
273,0,624,1890,0,7874,473,0,5197
274,0,1254,1575,0,7559,0,0,4410
275,0,3459,0,0,11963,0,0,4416
276,0,7239,0,0,0,0,0,15434
277,0,11018,4410,0,3465,0,0,7560
278,0,11018,5355,0,2520,0,0,6300
279,0,10388,5355,0,2835,0,0,6457
280,0,9444,4409,0,1260,0,0,5355
281,0,7239,3464,0,0,0,0,5355
282,0,5664,3780,0,0,0,0,3622
283,0,4719,3150,0,1102,630,0,1890
284,0,3144,1890,0,472,0,0,0
285,0,1569,0,0,0,0,0,0
286,0,939,1102,0,0,0,0,0
287,0,0,1096,0,0,0,0,2835
288,0,0,0,0,1096,0,0,788
289,0,0,0,0,0,0,0,1726
290,0,0,0,0,0,0,0,1726
291,0,0,0,0,1096,0,0,630
292,0,0,0,0,0,0,0,0
293,0,0,0,0,0,0,0,0
294,0,0,781,0,0,0,0,0
295,0,0,781,0,0,0,0,0
296,0,0,781,0,0,0,0,0
297,0,0,1254,0,0,0,0,0
298,0,0,1254,0,0,0,0,0
299,0,0,1254,0,0,787,0,0
300,0,0,1569,0,157,0,0,0
301,0,0,1569,0,0,0,0,0
302,0,0,1884,0,157,0,0,0
303,0,0,2514,0,157,0,0,0
304,0,0,2514,0,472,0,0,0
305,0,0,2829,0,472,0,0,0
306,0,0,3459,0,630,0,0,0
307,0,939,2835,0,945,0,0,0
308,0,939,3465,0,1575,0,0,630
309,0,1254,3780,0,1260,0,0,0
310,0,1884,5040,0,0,0,0,0
311,0,1884,5670,0,2205,0,0,0
312,0,2514,6930,0,2204,0,0,4095
313,0,2829,10394,0,473,6614,0,0
314,0,3774,12599,0,0,0,0,0
315,0,4404,17324,0,11339,0,0,0
316,0,5664,17796,0,18427,0,0,0
317,0,6609,16694,0,28348,0,0,0
318,0,6609,15749,0,40160,0,0,0
319,0,5979,13544,0,43153,5355,0,5354
320,0,5979,10394,0,33074,0,0,0
321,0,5349,8504,0,34964,7244,0,4725
322,0,5349,8504,0,34649,0,0,12441
323,0,4719,7874,0,38428,8820,0,6615
324,0,4089,5040,0,34963,0,0,15434
325,0,3144,4725,0,28978,0,0,15434
326,0,2829,4410,0,20474,0,0,18899
327,0,2514,3465,0,18269,11654,0,3465
328,0,1884,3150,0,14489,0,0,14804
329,0,1884,2520,0,11654,0,0,13545
330,0,1884,2205,0,8819,3623,0,8032
331,0,1569,2205,0,6614,5040,0,4725
332,0,1569,1890,0,5040,0,0,5984
333,0,1569,1260,0,3780,0,0,4409
334,0,1569,1260,0,3150,1102,0,2678
335,0,1884,1260,0,2520,945,0,3307
336,0,2199,1260,0,2205,0,0,3307
337,0,2514,1260,0,1575,0,0,2362
338,0,2514,630,0,1575,0,0,2047
339,0,1884,1260,0,945,0,0,1260
340,0,1884,630,0,1575,0,0,945
341,0,1569,1260,0,945,0,0,945
342,0,1254,945,0,1575,0,0,472
343,0,1569,1260,0,630,0,0,787
344,0,1884,1260,0,630,0,0,0
345,0,1884,1260,0,1260,0,0,0
346,0,1569,945,0,945,0,0,0
347,0,1569,630,0,945,0,0,0
348,0,1569,1260,0,315,0,0,0
349,0,1569,630,0,787,0,0,0
350,0,1254,630,0,787,0,0,0
351,0,939,630,0,787,0,0,0
352,0,0,1254,0,787,0,0,0
353,0,0,1254,0,630,0,0,0
354,0,0,1254,0,630,0,0,0
355,0,0,1411,0,630,0,0,0
356,0,939,472,0,630,0,0,0
357,0,0,1096,0,788,0,0,0
358,0,939,0,0,1884,0,0,163
359,0,939,472,0,1418,0,0,0
360,0,939,472,0,1733,0,0,0
361,0,1254,472,0,1733,0,0,0
362,0,1569,472,0,2363,0,0,787
363,0,1569,630,0,2520,0,0,945
364,0,1884,1102,0,2993,0,0,0
365,0,2829,1102,0,3623,0,0,0
366,0,3774,1417,0,4882,0,0,0
367,0,5034,1890,0,6299,0,0,8505
368,0,7554,4409,0,10395,0,0,10394
369,0,10073,630,0,4725,0,0,0
