Date,Cases in persons >5 yr old,Cases in persons <5 yr old,Percentage of cases in persons <5 yr old (7-day average)
2012-05-30,294,65,1536
2012-05-31,289,59,1570
2012-06-01,255,42,1575
2012-06-02,198,31,1573
2012-06-03,203,26,1570
2012-06-04,271,26,1479
2012-06-05,260,37,1411
2012-06-06,232,37,1344
2012-06-07,238,42,1256
2012-06-08,238,48,1236
2012-06-09,170,31,1267
2012-06-10,181,20,1250
2012-06-11,215,20,1344
2012-06-12,198,37,1386
2012-06-13,147,26,1414
2012-06-14,113,54,1485
2012-06-15,119,48,1581
2012-06-16,96,31,1700
2012-06-17,147,26,1813
2012-06-18,131,42,1841
2012-06-19,150,40,1855
2012-06-20,187,42,1864
2012-06-21,198,26,1864
2012-06-22,184,34,1850
2012-06-23,141,37,1706
2012-06-24,192,26,1626
2012-06-25,187,37,1581
2012-06-26,153,37,1479
2012-06-27,152,26,1445
2012-06-28,141,26,1491
2012-06-29,142,31,1527
2012-06-30,102,20,1508
2012-07-01,108,31,1575
2012-07-02,118,26,1609
2012-07-03,124,37,1677
2012-07-04,130,31,1717
2012-07-05,130,37,1773
2012-07-06,91,48,1853
2012-07-07,119,37,1901
2012-07-08,124,20,1898
2012-07-09,107,37,1875
2012-07-10,79,37,1937
2012-07-11,96,37,1966
2012-07-12,113,31,1932
2012-07-13,119,31,1960
2012-07-14,113,26,1940
2012-07-15,119,31,1932
2012-07-16,130,20,1921
2012-07-17,147,14,1909
2012-07-18,127,0,1853
2012-07-19,130,20,1802
2012-07-20,96,26,1570
2012-07-21,107,20,1510
2012-07-22,144,0,1496
2012-07-23,135,26,1493
2012-07-24,119,42,1592
2012-07-25,108,42,1595
2012-07-26,130,20,1598
2012-07-27,96,26,1612
2012-07-28,96,9,1609
2012-07-29,142,14,1609
2012-07-30,142,14,1609
2012-07-31,159,31,1604
2012-08-01,113,26,1573
2012-08-02,147,20,1581
2012-08-03,141,20,1575
2012-08-04,144,26,1533
2012-08-05,130,26,1547
2012-08-06,124,26,1573
2012-08-07,130,26,1604
2012-08-08,107,37,1649
2012-08-09,56,37,1694
2012-08-10,85,14,1711
2012-08-11,153,20,1725
2012-08-12,136,37,1717
2012-08-13,136,31,1723
2012-08-14,130,37,1768
2012-08-15,119,48,1847
2012-08-16,102,42,1949
2012-08-17,84,26,1994
2012-08-18,90,26,2022
2012-08-19,141,37,2039
2012-08-20,136,37,2062
2012-08-21,130,48,2056
2012-08-22,164,48,2056
2012-08-23,153,65,2073
2012-08-24,164,54,2062
2012-08-25,170,42,2017
2012-08-26,158,37,1988
2012-08-27,153,37,1932
2012-08-28,176,31,1875
2012-08-29,176,31,1807
2012-08-30,186,26,1756
2012-08-31,175,20,1643
2012-09-01,169,26,1491
2012-09-02,152,26,1400
2012-09-03,145,45,1372
2012-09-04,159,48,1542
2012-09-05,175,37,1581
2012-09-06,147,37,1615
2012-09-07,136,31,1672
2012-09-08,159,48,1802
2012-09-09,165,42,1819
2012-09-10,159,48,1827
2012-09-11,165,42,1830
2012-09-12,147,37,1807
2012-09-13,175,37,1754
2012-09-14,181,31,1745
2012-09-15,209,48,1734
2012-09-16,204,48,1706
2012-09-17,182,42,1618
2012-09-18,181,31,1581
2012-09-19,198,31,1525
2012-09-20,193,31,1496
2012-09-21,175,37,1465
2012-09-22,187,37,1488
2012-09-23,206,54,1462
2012-09-24,164,48,1553
2012-09-25,181,37,1578
2012-09-26,175,37,1592
2012-09-27,175,37,1626
2012-09-28,181,20,1624
2012-09-29,192,71,1635
2012-09-30,203,71,1660
2012-10-01,221,65,1677
2012-10-02,243,48,1677
2012-10-03,221,42,1595
